"Designator"," Comment"," MPN"," Footprint"," Quantity"
"C101,C102,C103,C108,C111","6.8uF","1206B685K500CT","Capacitor_SMD:C_1206_3216Metric","5"
"C104,C107,C109,C112,C113,C114,C115,C201,C202,C203,C204","100nF","0805B104K500CT","Capacitor_SMD:C_0805_2012Metric","11"
"C105,C106","1uF","1206B105K250CT","Capacitor_SMD:C_1206_3216Metric","2"
"C110","180uF","875035119002","0_NRD_footprints:CP_Wurth_WCAP-PHLE-L7.3W4.3H1.9","1"
"D101,D103","amber","150060AS75000","LED_SMD:LED_0603_1608Metric","2"
"D102","brightgreen","150060VS75000","LED_SMD:LED_0603_1608Metric","1"
"D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218","MXA8-PW40-0000","MXA8-PW40-0000","0_NRD_footprints:LED_Luxeon3535_3.5x3.7mm","18"
"D219,D220,D221,D222,D223,D224,D225,D226,D227,D228","Led_0603_superred_generic","150060SS75000","LED_SMD:LED_0603_1608Metric","10"
"J101","UJ20-C-H-C-4-SMT-TR","UJ20-C-H-C-4-SMT-TR","0_NRD_footprints:USB_C_Receptacle_SSKY_UJ20-C-H-C-4-SMT-TR","1"
"J201","BM06B","BM06B-GHS-TBT(LF)(SN) ","0_NRD_footprints:J_BM06B-GHS-TBT","1"
"L101","4.7uH","74479889247","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","1"
"Q101,Q102,Q103,Q104","BSN20"," BSN20-7","Package_TO_SOT_SMD:SOT-23","4"
"Q105,Q106","XTR_NFET_SI4134","SI4134DY-T1-E3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2"
"R101,R102,R103,R104,R105,R106,R108,R109,R111,R112,R113,R114,R115,R116,R117,R118,R120","5K1","RC0805FR-075K1L","Resistor_SMD:R_0805_2012Metric","17"
"R107","5mR","580060720003","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R110,R119","180R","RC0805FR-07180RL","Resistor_SMD:R_0805_2012Metric","2"
"R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218","39R","RC0805FR-0739RL","Resistor_SMD:R_0805_2012Metric","18"
"R219,R220,R221,R222,R223,R224,R225,R226,R227,R228","270R","RC0805FR-07270RL","Resistor_SMD:R_0805_2012Metric","10"
"SW101","430483025816","430483025816","0_NRD_footprints:SW_Push_430483025816","1"
"TH101","NTCS0805","NTCS0805E3103HHT","Resistor_SMD:R_0805_2012Metric","1"
"U101","3.3V"," AP63203WU-7","Package_TO_SOT_SMD:TSOT-23-6","1"
"U102","AP33772S","","Interface_USBC:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1"
"U103","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1-N8R8","0_NRD_footprints:ESP32-S3-WROOM-1","1"
"U104","481RV12172100","481RV12172100","0_NRD_footprints:481RV12172100","1"
"U201,U210,U219,U222","74HC595","74HC595D","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","4"
"U202,U203,U204,U205,U206,U207,U208,U209,U211,U212,U213,U214,U215,U216,U217,U218,U220,U221","1G126","sn74lv1t126","Package_TO_SOT_SMD:SOT-353_SC-70-5","18"
