Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6.8uF","C_1206_3216Metric",37.460000,28.825000,0.000000,top
"C2","47uF","C_1210_3225Metric",37.460000,36.875000,0.000000,top
"C3","47uF","C_1210_3225Metric",37.460000,32.625000,0.000000,top
"C4","100nF","C_0805_2012Metric",11.550000,37.500000,0.000000,top
"FID101","Fiducial","Fiducial_0.5mm_Mask1mm",3.400000,27.450000,0.000000,top
"FID102","Fiducial","Fiducial_0.5mm_Mask1mm",3.400000,24.900000,0.000000,top
"FID103","Fiducial","Fiducial_0.5mm_Mask1mm",3.400000,22.350000,0.000000,top
"FID104","Fiducial","Fiducial_0.5mm_Mask1mm",3.400000,19.800000,0.000000,top
"J1","UJ20-C-H-C-4-SMT-TR","USB_C_Receptacle_SSKY_UJ20-C-H-C-4-SMT-TR",8.550000,43.680000,0.000000,top
"L1","4.7uH","FB_2020_5650Metric",34.925000,17.500000,0.000000,top
"Q1","BSN20","SOT-23",32.180000,36.775000,0.000000,top
"Q2","BSN20","SOT-23",32.180000,32.325000,0.000000,top
"Q3","BSN20","SOT-23",32.180000,27.875000,0.000000,top
"Q4","BSN20","SOT-23",32.180000,23.425000,0.000000,top
"U2","3.3V","TSOT-23-6",37.210000,24.750000,0.000000,top
"U3","AP33772S","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",6.205000,35.880000,0.000000,top
